fy,cc,account,period,expected_per_asset_round_vnd,current_writer_category_round_vnd,alternative_terminal_before_full_fy_vnd,reference_actual_vnd,delta_reference_minus_expected,classification
FY2027,1412000036,5006016244,202606,,,7847221,,,EXACT_MATCH
FY2027,1412000036,5006016244,202607,,,7847221,,,EXACT_MATCH
FY2027,1412000036,5006016244,202608,,,7847221,,,EXACT_MATCH
FY2027,1412000036,5006016244,202609,,,7847221,,,EXACT_MATCH
FY2027,1412000036,5006016244,202610,,,7847221,,,EXACT_MATCH
FY2027,1412000036,5006016244,202611,,,7847221,,,EXACT_MATCH
FY2027,1412000036,5006016244,202612,,,7847221,,,EXACT_MATCH
FY2027,1412000036,5006016244,202701,,,7847221,,,EXACT_MATCH
FY2027,1412000036,5006016244,202702,,,7847221,,,EXACT_MATCH
FY2027,1412000036,5006016244,202703,,,7847221,,,EXACT_MATCH
FY2027,1412000036,9114120007,202604,353635,353635,353635,353633,-2,TRUE_AMOUNT_MISMATCH
FY2027,1412000036,9114120007,202605,311598,311598,311598,311597,-1,TRUE_AMOUNT_MISMATCH
FY2027,1412000036,9114120007,202606,311598,311598,311598,311597,-1,TRUE_AMOUNT_MISMATCH
FY2027,1412000036,9114120007,202607,311598,311598,311598,311597,-1,TRUE_AMOUNT_MISMATCH
FY2027,1412000036,9114120007,202608,311598,311598,311598,311597,-1,TRUE_AMOUNT_MISMATCH
FY2027,1412000036,9114120007,202609,311598,311598,311598,311597,-1,TRUE_AMOUNT_MISMATCH
FY2027,1412000036,9114120007,202610,311598,311598,311598,311597,-1,TRUE_AMOUNT_MISMATCH
FY2027,1412000036,9114120007,202611,311598,311598,311598,311597,-1,TRUE_AMOUNT_MISMATCH
FY2027,1412000036,9114120007,202612,311598,311598,311598,311597,-1,TRUE_AMOUNT_MISMATCH
FY2027,1412000036,9114120007,202701,311598,311598,311598,311597,-1,TRUE_AMOUNT_MISMATCH
FY2027,1412000036,9114120007,202702,311598,311598,311598,311597,-1,TRUE_AMOUNT_MISMATCH
FY2027,1412000036,9114120007,202703,311598,311598,311598,311597,-1,TRUE_AMOUNT_MISMATCH
FY2027,1412000039,5006016244,202604,6710387,6710387,6710387,,,MISSING_REFERENCE_OUTPUT
FY2027,1412000039,5006016244,202605,6710387,6710387,6710387,,,MISSING_REFERENCE_OUTPUT
FY2027,1412000039,5006016244,202606,6710387,6710387,6710387,,,MISSING_REFERENCE_OUTPUT
FY2027,1412000039,9114120007,202604,282435,282435,282435,,,MISSING_REFERENCE_OUTPUT
FY2027,1412000039,9114120007,202605,40986,40986,40986,,,MISSING_REFERENCE_OUTPUT
FY2027,1412000039,9114120007,202606,40986,40986,40986,,,MISSING_REFERENCE_OUTPUT
FY2027,1412000040,5006016244,202604,4345291,4345291,16148699,,,MISSING_REFERENCE_OUTPUT
FY2027,1412000040,5006016244,202605,4345291,4345291,16148699,,,MISSING_REFERENCE_OUTPUT
FY2027,1412000040,5006016244,202606,4345291,4345291,16148699,,,MISSING_REFERENCE_OUTPUT
FY2027,1412000040,5006016244,202607,4345291,4345291,16148699,,,MISSING_REFERENCE_OUTPUT
FY2027,1412000040,5006016244,202608,4345291,4345291,16148699,,,MISSING_REFERENCE_OUTPUT
FY2027,1412000040,5006016244,202609,4345291,4345291,16148699,,,MISSING_REFERENCE_OUTPUT
FY2027,1412000040,5006016244,202610,4345291,4345291,16148699,,,MISSING_REFERENCE_OUTPUT
FY2027,1412000040,5006016244,202611,4345291,4345291,16148699,,,MISSING_REFERENCE_OUTPUT
FY2027,1412000040,5006016244,202612,4345291,4345291,16148699,,,MISSING_REFERENCE_OUTPUT
FY2027,1412000040,5006016244,202701,4345291,4345291,16148699,,,MISSING_REFERENCE_OUTPUT
FY2027,1412000040,5006016244,202702,4345291,4345291,16148699,,,MISSING_REFERENCE_OUTPUT
FY2027,1412000040,5006016244,202703,4345291,4345291,16148699,,,MISSING_REFERENCE_OUTPUT
FY2027,1412000040,9114120007,202604,469761,469761,469761,,,MISSING_REFERENCE_OUTPUT
FY2027,1412000040,9114120007,202605,391468,391468,391468,,,MISSING_REFERENCE_OUTPUT
FY2027,1412000040,9114120007,202606,391468,391468,391468,,,MISSING_REFERENCE_OUTPUT
FY2027,1412000040,9114120007,202607,391468,391468,391468,,,MISSING_REFERENCE_OUTPUT
FY2027,1412000040,9114120007,202608,391468,391468,391468,,,MISSING_REFERENCE_OUTPUT
FY2027,1412000040,9114120007,202609,391468,391468,391468,,,MISSING_REFERENCE_OUTPUT
FY2027,1412000040,9114120007,202610,391468,391468,391468,,,MISSING_REFERENCE_OUTPUT
FY2027,1412000040,9114120007,202611,391468,391468,391468,,,MISSING_REFERENCE_OUTPUT
FY2027,1412000040,9114120007,202612,391468,391468,391468,,,MISSING_REFERENCE_OUTPUT
FY2027,1412000040,9114120007,202701,391468,391468,391468,,,MISSING_REFERENCE_OUTPUT
FY2027,1412000040,9114120007,202702,391468,391468,391468,,,MISSING_REFERENCE_OUTPUT
FY2027,1412000040,9114120007,202703,391468,391468,391468,,,MISSING_REFERENCE_OUTPUT
FY2027,1412000044,5006016242,202604,48960786,48960786,48960786,48960787,1,TRUE_AMOUNT_MISMATCH
FY2027,1412000044,5006016242,202605,48960786,48960786,48960786,48960787,1,TRUE_AMOUNT_MISMATCH
FY2027,1412000044,5006016242,202606,48960786,48960786,48960786,48960787,1,TRUE_AMOUNT_MISMATCH
FY2027,1412000044,5006016242,202607,48960786,48960786,48960786,48960787,1,TRUE_AMOUNT_MISMATCH
FY2027,1412000044,5006016242,202608,48960786,48960786,48960786,48960787,1,TRUE_AMOUNT_MISMATCH
FY2027,1412000044,5006016242,202609,48960786,48960786,48960786,62097287,13136501,TRUE_AMOUNT_MISMATCH
FY2027,1412000044,5006016242,202610,48960786,48960786,48960786,62097287,13136501,TRUE_AMOUNT_MISMATCH
FY2027,1412000044,5006016242,202611,48961049,48961049,48961049,37961070,-10999979,TRUE_AMOUNT_MISMATCH
FY2027,1412000044,5006016242,202612,,,,13136500,,EXTRA_REFERENCE_OUTPUT
FY2027,1412000044,5006016242,202701,,,,13136500,,EXTRA_REFERENCE_OUTPUT
FY2027,1412000044,5006016242,202702,,,,13136500,,EXTRA_REFERENCE_OUTPUT
FY2027,1412000044,5006016242,202703,,,,13136500,,EXTRA_REFERENCE_OUTPUT
FY2027,1412000044,5006016243,202604,6266373,6266373,6266373,6266374,1,TRUE_AMOUNT_MISMATCH
FY2027,1412000044,5006016243,202605,6266373,6266373,6266373,6266374,1,TRUE_AMOUNT_MISMATCH
FY2027,1412000044,5006016243,202606,6266373,6266373,6266373,6266374,1,TRUE_AMOUNT_MISMATCH
FY2027,1412000044,5006016243,202607,6266373,6266373,6266373,6266374,1,TRUE_AMOUNT_MISMATCH
FY2027,1412000044,5006016243,202608,6266373,6266373,6266373,6266374,1,TRUE_AMOUNT_MISMATCH
FY2027,1412000044,5006016243,202609,6266373,6266373,6266373,6266374,1,TRUE_AMOUNT_MISMATCH
FY2027,1412000044,5006016243,202610,6266373,6266373,6266373,6266374,1,TRUE_AMOUNT_MISMATCH
FY2027,1412000044,5006016243,202611,6266373,6266373,6266373,6266374,1,TRUE_AMOUNT_MISMATCH
FY2027,1412000044,5006016243,202612,6266373,6266373,6266373,6266374,1,TRUE_AMOUNT_MISMATCH
FY2027,1412000044,5006016243,202701,6266373,6266373,6266373,6266374,1,TRUE_AMOUNT_MISMATCH
FY2027,1412000044,5006016243,202702,6266373,6266373,6266373,6266374,1,TRUE_AMOUNT_MISMATCH
FY2027,1412000044,5006016243,202703,6266373,6266373,6266373,6266374,1,TRUE_AMOUNT_MISMATCH
FY2027,1412000044,9114120007,202604,4205519,4205519,4205519,,,MISSING_REFERENCE_OUTPUT
FY2027,1412000044,9114120007,202605,2217179,2217179,2217179,,,MISSING_REFERENCE_OUTPUT
FY2027,1412000044,9114120007,202606,2217179,2217179,2217179,,,MISSING_REFERENCE_OUTPUT
FY2027,1412000044,9114120007,202607,2217179,2217179,2217179,,,MISSING_REFERENCE_OUTPUT
FY2027,1412000044,9114120007,202608,2217179,2217179,2217179,,,MISSING_REFERENCE_OUTPUT
FY2027,1412000044,9114120007,202609,2217179,2217179,2217179,,,MISSING_REFERENCE_OUTPUT
FY2027,1412000044,9114120007,202610,2217179,2217179,2217179,,,MISSING_REFERENCE_OUTPUT
FY2027,1412000044,9114120007,202611,2217179,2217179,2217179,,,MISSING_REFERENCE_OUTPUT
FY2027,1412000044,9114120007,202612,1114501,1114501,1114501,,,MISSING_REFERENCE_OUTPUT
FY2027,1412000044,9114120007,202701,1114501,1114501,1114501,,,MISSING_REFERENCE_OUTPUT
FY2027,1412000044,9114120007,202702,1114501,1114501,1114501,,,MISSING_REFERENCE_OUTPUT
FY2027,1412000044,9114120007,202703,1114501,1114501,1114501,,,MISSING_REFERENCE_OUTPUT
FY2027,1412000050,5006016242,202604,62476143,62476143,62476143,,,MISSING_REFERENCE_OUTPUT
FY2027,1412000050,5006016242,202605,62476143,62476143,62476143,,,MISSING_REFERENCE_OUTPUT
FY2027,1412000050,5006016242,202606,62476143,62476143,62476143,,,MISSING_REFERENCE_OUTPUT
FY2027,1412000050,5006016242,202607,62476143,62476143,62476143,,,MISSING_REFERENCE_OUTPUT
FY2027,1412000050,5006016242,202608,62476143,62476143,62476143,,,MISSING_REFERENCE_OUTPUT
FY2027,1412000050,5006016242,202609,62476143,62476143,62476143,,,MISSING_REFERENCE_OUTPUT
FY2027,1412000050,5006016242,202610,62476143,62476143,62476143,,,MISSING_REFERENCE_OUTPUT
FY2027,1412000050,5006016242,202611,62476143,62476143,62476143,,,MISSING_REFERENCE_OUTPUT
FY2027,1412000050,5006016242,202612,62476143,62476143,62476143,,,MISSING_REFERENCE_OUTPUT
FY2027,1412000050,5006016242,202701,62476143,62476143,62476143,,,MISSING_REFERENCE_OUTPUT
FY2027,1412000050,5006016242,202702,62476143,62476143,62476143,,,MISSING_REFERENCE_OUTPUT
FY2027,1412000050,5006016242,202703,62476143,62476143,62476143,,,MISSING_REFERENCE_OUTPUT
FY2027,1412000050,5006016244,202604,88650881,88650882,95361268,89687763,1036882,TRUE_AMOUNT_MISMATCH
FY2027,1412000050,5006016244,202605,88650881,88650882,95361268,89687763,1036882,TRUE_AMOUNT_MISMATCH
FY2027,1412000050,5006016244,202606,88650881,88650882,95361268,89687763,1036882,TRUE_AMOUNT_MISMATCH
FY2027,1412000050,5006016244,202607,88650618,88650619,95361005,85309955,-3340663,TRUE_AMOUNT_MISMATCH
FY2027,1412000050,5006016244,202608,82058197,82058198,88768584,85152537,3094340,TRUE_AMOUNT_MISMATCH
FY2027,1412000050,5006016244,202609,82058197,82058198,88768584,78685187,-3373010,TRUE_AMOUNT_MISMATCH
FY2027,1412000050,5006016244,202610,74411441,74411442,81121828,78452868,4041427,TRUE_AMOUNT_MISMATCH
FY2027,1412000050,5006016244,202611,74411441,74411442,81121828,78452868,4041427,TRUE_AMOUNT_MISMATCH
FY2027,1412000050,5006016244,202612,74411441,74411442,81121828,78452868,4041427,TRUE_AMOUNT_MISMATCH
FY2027,1412000050,5006016244,202701,74411441,74411442,81121828,78452868,4041427,TRUE_AMOUNT_MISMATCH
FY2027,1412000050,5006016244,202702,74411441,74411442,81121828,78452868,4041427,TRUE_AMOUNT_MISMATCH
FY2027,1412000050,5006016244,202703,74411441,74411442,81121828,78452868,4041427,TRUE_AMOUNT_MISMATCH
FY2027,1412000050,9114120007,202604,19136989,19136990,19136989,10967017,-8169972,TRUE_AMOUNT_MISMATCH
FY2027,1412000050,9114120007,202605,14759383,14759384,14759383,10967017,-3792366,TRUE_AMOUNT_MISMATCH
FY2027,1412000050,9114120007,202606,14759383,14759384,14759383,10967017,-3792366,TRUE_AMOUNT_MISMATCH
FY2027,1412000050,9114120007,202607,14759383,14759384,14759383,10967017,-3792366,TRUE_AMOUNT_MISMATCH
FY2027,1412000050,9114120007,202608,14699217,14699218,14699217,10669324,-4029893,TRUE_AMOUNT_MISMATCH
FY2027,1412000050,9114120007,202609,14699217,14699218,14699217,15141064,441847,TRUE_AMOUNT_MISMATCH
FY2027,1412000050,9114120007,202610,14583616,14583617,14583616,14749750,166134,TRUE_AMOUNT_MISMATCH
FY2027,1412000050,9114120007,202611,14583616,14583617,14583616,14749750,166134,TRUE_AMOUNT_MISMATCH
FY2027,1412000050,9114120007,202612,14583616,14583617,14583616,14749750,166134,TRUE_AMOUNT_MISMATCH
FY2027,1412000050,9114120007,202701,14583616,14583617,14583616,14749750,166134,TRUE_AMOUNT_MISMATCH
FY2027,1412000050,9114120007,202702,14583616,14583617,14583616,14749750,166134,TRUE_AMOUNT_MISMATCH
FY2027,1412000050,9114120007,202703,14583616,14583617,14583616,14749750,166134,TRUE_AMOUNT_MISMATCH
FY2027,1412000056,5005036246,202604,4929866,4929866,4929866,4929866,0,EXACT_MATCH
FY2027,1412000056,5005036246,202605,4929866,4929866,4929866,4929866,0,EXACT_MATCH
FY2027,1412000056,5005036246,202606,4929866,4929866,4929866,4929866,0,EXACT_MATCH
FY2027,1412000056,5005036246,202607,4930128,4930128,4930128,4929866,-262,TRUE_AMOUNT_MISMATCH
FY2027,1412000056,5006016242,202604,949481788,949481786,979287456,795393531,-154088257,TRUE_AMOUNT_MISMATCH
FY2027,1412000056,5006016242,202605,911389616,911389614,941195284,745119620,-166269996,TRUE_AMOUNT_MISMATCH
FY2027,1412000056,5006016242,202606,848590314,848590313,878395982,745119620,-103470694,TRUE_AMOUNT_MISMATCH
FY2027,1412000056,5006016242,202607,610640220,610640219,640445888,640394291,29754071,TRUE_AMOUNT_MISMATCH
FY2027,1412000056,5006016242,202608,610640220,610640219,640445888,647980683,37340463,TRUE_AMOUNT_MISMATCH
FY2027,1412000056,5006016242,202609,610639957,610639956,640445625,704279969,93640012,TRUE_AMOUNT_MISMATCH
FY2027,1412000056,5006016242,202610,600823839,600823838,630629507,737000513,136176674,TRUE_AMOUNT_MISMATCH
FY2027,1412000056,5006016242,202611,600823839,600823838,630629507,790453831,189629992,TRUE_AMOUNT_MISMATCH
FY2027,1412000056,5006016242,202612,480843981,480843980,510649649,784980189,304136208,TRUE_AMOUNT_MISMATCH
FY2027,1412000056,5006016242,202701,480843981,480843980,510649649,843749212,362905231,TRUE_AMOUNT_MISMATCH
FY2027,1412000056,5006016242,202702,480843981,480843980,510649649,843749212,362905231,TRUE_AMOUNT_MISMATCH
FY2027,1412000056,5006016242,202703,480843981,480843980,510649649,843749212,362905231,TRUE_AMOUNT_MISMATCH
FY2027,1412000056,5006016244,202604,93082086,93082086,101218309,97460919,4378833,TRUE_AMOUNT_MISMATCH
FY2027,1412000056,5006016244,202605,93082086,93082086,101218309,97460919,4378833,TRUE_AMOUNT_MISMATCH
FY2027,1412000056,5006016244,202606,93082086,93082086,101218309,97460919,4378833,TRUE_AMOUNT_MISMATCH
FY2027,1412000056,5006016244,202607,93082086,93082086,101218309,88929288,-4152798,TRUE_AMOUNT_MISMATCH
FY2027,1412000056,5006016244,202608,84231238,84231238,92367461,88610071,4378833,TRUE_AMOUNT_MISMATCH
FY2027,1412000056,5006016244,202609,84231238,84231238,92367461,88610071,4378833,TRUE_AMOUNT_MISMATCH
FY2027,1412000056,5006016244,202610,84231238,84231238,92367461,60085738,-24145500,TRUE_AMOUNT_MISMATCH
FY2027,1412000056,5006016244,202611,54641271,54641272,62777494,59020105,4378834,TRUE_AMOUNT_MISMATCH
FY2027,1412000056,5006016244,202612,54641271,54641272,62777494,59020105,4378834,TRUE_AMOUNT_MISMATCH
FY2027,1412000056,5006016244,202701,54641271,54641272,62777494,59020105,4378834,TRUE_AMOUNT_MISMATCH
FY2027,1412000056,5006016244,202702,54641271,54641272,62777494,59020105,4378834,TRUE_AMOUNT_MISMATCH
FY2027,1412000056,5006016244,202703,54641271,54641272,62777494,47102672,-7538599,TRUE_AMOUNT_MISMATCH
FY2027,1412000056,9114120007,202604,86367757,86367759,86367757,6813114,-79554643,TRUE_AMOUNT_MISMATCH
FY2027,1412000056,9114120007,202605,48598482,48598481,48598482,6813114,-41785368,TRUE_AMOUNT_MISMATCH
FY2027,1412000056,9114120007,202606,48314734,48314733,48314734,6813114,-41501620,TRUE_AMOUNT_MISMATCH
FY2027,1412000056,9114120007,202607,46525281,46525279,46525281,6813114,-39712167,TRUE_AMOUNT_MISMATCH
FY2027,1412000056,9114120007,202608,46385509,46385507,46385509,6813114,-39572395,TRUE_AMOUNT_MISMATCH
FY2027,1412000056,9114120007,202609,46385509,46385507,46385509,6813114,-39572395,TRUE_AMOUNT_MISMATCH
FY2027,1412000056,9114120007,202610,46208692,46208690,46208692,6813114,-39395578,TRUE_AMOUNT_MISMATCH
FY2027,1412000056,9114120007,202611,45672984,45672983,45672984,6813114,-38859870,TRUE_AMOUNT_MISMATCH
FY2027,1412000056,9114120007,202612,42970806,42970805,42970806,6813114,-36157692,TRUE_AMOUNT_MISMATCH
FY2027,1412000056,9114120007,202701,42970806,42970805,42970806,6813114,-36157692,TRUE_AMOUNT_MISMATCH
FY2027,1412000056,9114120007,202702,42970806,42970805,42970806,6813114,-36157692,TRUE_AMOUNT_MISMATCH
FY2027,1412000056,9114120007,202703,42970806,42970805,42970806,6813114,-36157692,TRUE_AMOUNT_MISMATCH
FY2027,1412000057,5006016244,202604,125402079,125402080,125402079,118447567,-6954512,TRUE_AMOUNT_MISMATCH
FY2027,1412000057,5006016244,202605,125402079,125402080,125402079,116211978,-9190101,TRUE_AMOUNT_MISMATCH
FY2027,1412000057,5006016244,202606,117954472,117954473,117954472,116138093,-1816379,TRUE_AMOUNT_MISMATCH
FY2027,1412000057,5006016244,202607,115832665,115832665,115832665,116138093,305428,TRUE_AMOUNT_MISMATCH
FY2027,1412000057,5006016244,202608,115832665,115832665,115832665,116138093,305428,TRUE_AMOUNT_MISMATCH
FY2027,1412000057,5006016244,202609,115832665,115832665,115832665,116138093,305428,TRUE_AMOUNT_MISMATCH
FY2027,1412000057,5006016244,202610,115832665,115832665,115832665,116138093,305428,TRUE_AMOUNT_MISMATCH
FY2027,1412000057,5006016244,202611,115832665,115832665,115832665,116138093,305428,TRUE_AMOUNT_MISMATCH
FY2027,1412000057,5006016244,202612,115833191,115833191,115833191,116138601,305410,TRUE_AMOUNT_MISMATCH
FY2027,1412000057,5006016244,202701,74767441,74767441,74767441,76453016,1685575,TRUE_AMOUNT_MISMATCH
FY2027,1412000057,5006016244,202702,74767704,74767703,74767704,76453016,1685312,TRUE_AMOUNT_MISMATCH
FY2027,1412000057,5006016244,202703,73548637,73548636,73548637,76453016,2904379,TRUE_AMOUNT_MISMATCH
FY2027,1412000057,9114120007,202604,12210377,12210377,12210377,8579281,-3631096,TRUE_AMOUNT_MISMATCH
FY2027,1412000057,9114120007,202605,8235010,8235009,8235010,8297960,62950,TRUE_AMOUNT_MISMATCH
FY2027,1412000057,9114120007,202606,8211890,8211889,8211890,8297960,86070,TRUE_AMOUNT_MISMATCH
FY2027,1412000057,9114120007,202607,8199016,8199015,8199016,8297960,98944,TRUE_AMOUNT_MISMATCH
FY2027,1412000057,9114120007,202608,8199016,8199015,8199016,8297960,98944,TRUE_AMOUNT_MISMATCH
FY2027,1412000057,9114120007,202609,8199016,8199015,8199016,8297960,98944,TRUE_AMOUNT_MISMATCH
FY2027,1412000057,9114120007,202610,8199016,8199015,8199016,8297960,98944,TRUE_AMOUNT_MISMATCH
FY2027,1412000057,9114120007,202611,8199016,8199015,8199016,8297960,98944,TRUE_AMOUNT_MISMATCH
FY2027,1412000057,9114120007,202612,8199016,8199015,8199016,8297960,98944,TRUE_AMOUNT_MISMATCH
FY2027,1412000057,9114120007,202701,7090295,7090295,7090295,7412865,322570,TRUE_AMOUNT_MISMATCH
FY2027,1412000057,9114120007,202702,7090295,7090295,7090295,7412865,322570,TRUE_AMOUNT_MISMATCH
FY2027,1412000057,9114120007,202703,7053513,7053512,7053513,7412865,359352,TRUE_AMOUNT_MISMATCH
FY2027,1412000069,5006016244,202604,,,59640,,,EXACT_MATCH
FY2027,1412000069,5006016244,202605,,,59640,,,EXACT_MATCH
FY2027,1412000069,5006016244,202606,,,59640,,,EXACT_MATCH
FY2027,1412000069,5006016244,202607,,,59640,,,EXACT_MATCH
FY2027,1412000069,5006016244,202608,,,59640,,,EXACT_MATCH
FY2027,1412000069,5006016244,202609,,,59640,,,EXACT_MATCH
FY2027,1412000069,5006016244,202610,,,59640,,,EXACT_MATCH
FY2027,1412000069,5006016244,202611,,,59640,,,EXACT_MATCH
FY2027,1412000069,5006016244,202612,,,59640,,,EXACT_MATCH
FY2027,1412000069,5006016244,202701,,,59640,,,EXACT_MATCH
FY2027,1412000069,5006016244,202702,,,59640,,,EXACT_MATCH
FY2027,1412000069,5006016244,202703,,,59640,,,EXACT_MATCH
FY2027,1412000069,9114120007,202604,,,0,,,EXACT_MATCH
FY2027,1412000069,9114120007,202605,,,0,,,EXACT_MATCH
FY2027,1412000069,9114120007,202606,,,0,,,EXACT_MATCH
FY2027,1412000069,9114120007,202607,,,0,,,EXACT_MATCH
FY2027,1412000069,9114120007,202608,,,0,,,EXACT_MATCH
FY2027,1412000069,9114120007,202609,,,0,,,EXACT_MATCH
FY2027,1412000069,9114120007,202610,,,0,,,EXACT_MATCH
FY2027,1412000069,9114120007,202611,,,0,,,EXACT_MATCH
FY2027,1412000069,9114120007,202612,,,0,,,EXACT_MATCH
FY2027,1412000069,9114120007,202701,,,0,,,EXACT_MATCH
FY2027,1412000069,9114120007,202702,,,0,,,EXACT_MATCH
FY2027,1412000069,9114120007,202703,,,0,,,EXACT_MATCH
FY2027,1412000078,5006016244,202604,2620994,2620994,2620994,2760333,139339,TRUE_AMOUNT_MISMATCH
FY2027,1412000078,5006016244,202605,2620994,2620994,2620994,2760333,139339,TRUE_AMOUNT_MISMATCH
FY2027,1412000078,5006016244,202606,2620994,2620994,2620994,2760333,139339,TRUE_AMOUNT_MISMATCH
FY2027,1412000078,5006016244,202607,2620994,2620994,2620994,2760333,139339,TRUE_AMOUNT_MISMATCH
FY2027,1412000078,5006016244,202608,2620994,2620994,2620994,2760333,139339,TRUE_AMOUNT_MISMATCH
FY2027,1412000078,5006016244,202609,2620994,2620994,2620994,2760333,139339,TRUE_AMOUNT_MISMATCH
FY2027,1412000078,5006016244,202610,2620994,2620994,2620994,2760333,139339,TRUE_AMOUNT_MISMATCH
FY2027,1412000078,5006016244,202611,2620994,2620994,2620994,2760333,139339,TRUE_AMOUNT_MISMATCH
FY2027,1412000078,5006016244,202612,2620994,2620994,2620994,2760333,139339,TRUE_AMOUNT_MISMATCH
FY2027,1412000078,5006016244,202701,2620994,2620994,2620994,2760333,139339,TRUE_AMOUNT_MISMATCH
FY2027,1412000078,5006016244,202702,2620994,2620994,2620994,2760333,139339,TRUE_AMOUNT_MISMATCH
FY2027,1412000078,5006016244,202703,2620994,2620994,2620994,2760333,139339,TRUE_AMOUNT_MISMATCH
FY2027,1412000078,9114120007,202604,283486,283486,283486,298116,14630,TRUE_AMOUNT_MISMATCH
FY2027,1412000078,9114120007,202605,236194,236194,236194,298116,61922,TRUE_AMOUNT_MISMATCH
FY2027,1412000078,9114120007,202606,236194,236194,236194,298116,61922,TRUE_AMOUNT_MISMATCH
FY2027,1412000078,9114120007,202607,236194,236194,236194,298116,61922,TRUE_AMOUNT_MISMATCH
FY2027,1412000078,9114120007,202608,236194,236194,236194,298116,61922,TRUE_AMOUNT_MISMATCH
FY2027,1412000078,9114120007,202609,236194,236194,236194,298116,61922,TRUE_AMOUNT_MISMATCH
FY2027,1412000078,9114120007,202610,236194,236194,236194,298116,61922,TRUE_AMOUNT_MISMATCH
FY2027,1412000078,9114120007,202611,236194,236194,236194,298116,61922,TRUE_AMOUNT_MISMATCH
FY2027,1412000078,9114120007,202612,236194,236194,236194,298116,61922,TRUE_AMOUNT_MISMATCH
FY2027,1412000078,9114120007,202701,236194,236194,236194,298116,61922,TRUE_AMOUNT_MISMATCH
FY2027,1412000078,9114120007,202702,236194,236194,236194,298116,61922,TRUE_AMOUNT_MISMATCH
FY2027,1412000078,9114120007,202703,236194,236194,236194,298116,61922,TRUE_AMOUNT_MISMATCH
FY2027,1412000081,5005036246,202604,833256869,833256865,1789649771,833256602,-267,TRUE_AMOUNT_MISMATCH
FY2027,1412000081,5005036246,202605,584386927,584386924,1540779829,584386661,-266,TRUE_AMOUNT_MISMATCH
FY2027,1412000081,5005036246,202606,553735270,553735265,1510128172,553735265,-5,ROUNDING_ORDER
FY2027,1412000081,5005036246,202607,449979251,449979247,1406372153,449979247,-4,ROUNDING_ORDER
FY2027,1412000081,5005036246,202608,366902183,366902182,1323295085,366901657,-526,TRUE_AMOUNT_MISMATCH
FY2027,1412000081,5005036246,202609,274728616,274728616,1231121518,274728616,0,EXACT_MATCH
FY2027,1412000081,5005036246,202610,153467687,153467687,1109860589,153467687,0,EXACT_MATCH
FY2027,1412000081,5005036246,202611,126099891,126099891,1082492793,126099891,0,EXACT_MATCH
FY2027,1412000081,5005036246,202612,126099891,126099891,1082492793,126099891,0,EXACT_MATCH
FY2027,1412000081,5005036246,202701,126099891,126099891,1082492793,126099628,-263,TRUE_AMOUNT_MISMATCH
FY2027,1412000081,5005036246,202702,120688704,120688704,1077081606,120688704,0,EXACT_MATCH
FY2027,1412000081,5005036246,202703,109686885,109686885,1066079787,109686885,0,EXACT_MATCH
FY2027,1412000081,5006016242,202604,284084957,284084957,355261142,284084957,0,EXACT_MATCH
FY2027,1412000081,5006016242,202605,284084957,284084957,355261142,284084957,0,EXACT_MATCH
FY2027,1412000081,5006016242,202606,284084957,284084957,355261142,284084957,0,EXACT_MATCH
FY2027,1412000081,5006016242,202607,284084957,284084957,355261142,284084957,0,EXACT_MATCH
FY2027,1412000081,5006016242,202608,284084957,284084957,355261142,284084957,0,EXACT_MATCH
FY2027,1412000081,5006016242,202609,284084957,284084957,355261142,284084957,0,EXACT_MATCH
FY2027,1412000081,5006016242,202610,284084957,284084957,355261142,284084957,0,EXACT_MATCH
FY2027,1412000081,5006016242,202611,284084957,284084957,355261142,284084957,0,EXACT_MATCH
FY2027,1412000081,5006016242,202612,284084957,284084957,355261142,284084957,0,EXACT_MATCH
FY2027,1412000081,5006016242,202701,284084957,284084957,355261142,284084957,0,EXACT_MATCH
FY2027,1412000081,5006016242,202702,284084957,284084957,355261142,284084957,0,EXACT_MATCH
FY2027,1412000081,5006016242,202703,284084957,284084957,355261142,284084957,0,EXACT_MATCH
FY2027,1412000081,5006016243,202604,658401,658401,658401,658401,0,EXACT_MATCH
FY2027,1412000081,5006016243,202605,658401,658401,658401,658401,0,EXACT_MATCH
FY2027,1412000081,5006016243,202606,658401,658401,658401,658401,0,EXACT_MATCH
FY2027,1412000081,5006016243,202607,658401,658401,658401,658401,0,EXACT_MATCH
FY2027,1412000081,5006016243,202608,658401,658401,658401,658401,0,EXACT_MATCH
FY2027,1412000081,5006016243,202609,658401,658401,658401,658401,0,EXACT_MATCH
FY2027,1412000081,5006016243,202610,658401,658401,658401,658401,0,EXACT_MATCH
FY2027,1412000081,5006016243,202611,658401,658401,658401,658401,0,EXACT_MATCH
FY2027,1412000081,5006016243,202612,658401,658401,658401,658401,0,EXACT_MATCH
FY2027,1412000081,5006016243,202701,658401,658401,658401,658401,0,EXACT_MATCH
FY2027,1412000081,5006016243,202702,658401,658401,658401,658401,0,EXACT_MATCH
FY2027,1412000081,5006016243,202703,658401,658401,658401,658401,0,EXACT_MATCH
FY2027,1412000081,5006016244,202604,539021336,539021334,762046002,517040554,-21980782,TRUE_AMOUNT_MISMATCH
FY2027,1412000081,5006016244,202605,504456577,504456576,727481243,487453741,-17002836,TRUE_AMOUNT_MISMATCH
